Ep No.,Name,Type,Date
1,I'm Luffy! The Man Who's Gonna Be King of the Pirates!,Manga Canon,1999-10-20
2,Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!,Manga Canon,1999-11-17
3,Morgan vs. Luffy! Who's the Mysterious Pretty Girl?,Manga Canon,1999-11-24
4,Luffy's Past! Enter Red-Haired Shanks!,Manga Canon,1999-12-08
5,"A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!",Manga Canon,1999-12-15
6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,Manga Canon,1999-12-29
7,Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!,Manga Canon,1999-12-29
8,Who Is the Victor? Devil Fruit Power Showdown!,Manga Canon,1999-12-29
9,The Honorable Liar? Captain Usopp!,Manga Canon,2000-01-12
10,The Weirdest Guy Ever! Jango the Hypnotist!,Manga Canon,2000-01-19
11,"Expose the Plot! Pirate Butler, Captain Kuro!",Manga Canon,2000-01-26
12,Clash With the Black Cat Pirates! The Great Battle on the Slope!,Manga Canon,2000-02-02
13,The Terrifying Duo! Meowban Brothers vs. Zoro!,Manga Canon,2000-02-09
14,Luffy Back in Action! Miss Kaya's Desperate Resistance!,Manga Canon,2000-02-16
15,Beat Kuro! Usopp the Man's Tearful Resolve!,Manga Canon,2000-02-23
16,Protect Kaya! The Usopp Pirates' Great Efforts!,Manga Canon,2000-03-01
17,Anger Explosion! Kuro vs. Luffy! How It Ends!,Manga Canon,2000-03-08
18,You're the Weird Creature! Gaimon and His Strange Friends!,Manga Canon,2000-03-15
19,The Three-Sword Style's Past! Zoro and Kuina's Vow!,Manga Canon,2000-03-22
20,Famous Cook! Sanji of the Sea Restaurant!,Manga Canon,2000-04-12
21,Unwelcome Customer! Sanji's Food and Ghin's Debt!,Manga Canon,2000-04-12
22,The Strongest Pirate Fleet! Commodore Don Krieg!,Manga Canon,2000-04-26
23,"Protect Baratie! The Great Pirate, Red Foot Zeff!",Manga Canon,2000-05-03
24,Hawk-Eye Mihawk! The Great Swordsman Zoro Falls at Sea!,Manga Canon,2000-05-10
25,The Deadly Foot Technique Bursts Forth! Sanji vs. the Invincible Pearl!,Manga Canon,2000-05-17
26,Zeff and Sanji's Dream! The Illusory All Blue!,Manga Canon,2000-05-24
27,"Cool-Headed, Cold-Hearted Demon! Pirate Fleet Chief Commander Ghin!",Manga Canon,2000-05-31
28,"I Won't Die! Fierce Battle, Luffy vs. Krieg!",Manga Canon,2000-06-07
29,The Conclusion of the Deadly Battle! A Spear of Blind Determination!,Manga Canon,2000-06-21
30,Set Sail! The Seafaring Cook Sets off With Luffy!,Manga Canon,2000-06-28
31,The Worst Man in the Eastern Seas! Fish-Man Pirate Arlong!,Manga Canon,2000-07-12
32,Witch of Cocoyashi Village! Arlong's Female Leader!,Manga Canon,2000-07-19
33,Usopp Dead?! When Is Luffy Going To Make Landfall?!,Manga Canon,2000-07-19
34,Everyone's Gathered! Usopp Speaks the Truth About Nami!,Manga Canon,2000-07-26
35,Untold Past! Female Warrior Bellemere!,Manga Canon,2000-08-02
36,Survive! Mother Bellemere and Nami's Bond!,Manga Canon,2000-08-09
37,Luffy Rises! Result of the Broken Promise!,Manga Canon,2000-08-16
38,Luffy in Big Trouble! Fish-Men vs. the Luffy Pirates!,Manga Canon,2000-08-23
39,Luffy Submerged! Zoro vs. Hatchan the Octopus!,Manga Canon,2000-08-30
40,Proud Warriors! Sanji and Usopp's Fierce Battles!,Manga Canon,2000-09-06
41,Luffy at Full Power! Nami's Determination and the Straw Hat!,Manga Canon,2000-09-13
42,Explosion! Fish-Man Arlong's Fierce Assault From the Sea!,Manga Canon,2000-09-27
43,End of the Fish-Man Empire! Nami's My Friend!,Manga Canon,2000-09-27
44,"Setting Out With a Smile! Farewell, Hometown Cocoyashi Village!",Manga Canon,2000-10-11
45,Bounty! Straw Hat Luffy Becomes Known to the World!,Manga Canon,2000-10-25
46,Chase Straw Hat! Little Buggy's Big Adventure!,Mixed Canon/Filler,2000-11-01
47,The Wait Is Over! The Return of Captain Buggy!,Mixed Canon/Filler,2000-11-08
48,The Town of the Beginning and the End! Landfall at Loguetown!,Manga Canon,2000-11-22
49,Kitetsu III and Yubashiri! Zoro's New Swords and the Woman Sergeant Major!,Manga Canon,2000-11-22
50,Usopp vs. Daddy the Parent! Showdown at High!,Anime Canon,2000-11-29
51,Fiery Cooking Battle? Sanji vs. the Beautiful Chef!,Anime Canon,2000-12-06
52,Buggy’s Revenge! The Man Who Smiles on the Execution Platform!,Manga Canon,2000-12-13
53,The Legend Has Started! Head for the Grand Line!,Manga Canon,2001-01-10
54,"Precursor to a New Adventure! Apis, a Mysterious Girl!",Filler,2001-01-17
55,Miraculous Creature! Apis' Secret and the Legendary Island!,Filler,2001-01-24
56,Eric Attacks! Great Escape From Warship Island!,Filler,2001-01-31
57,A Solitary Island in the Distant Sea! The Legendary Lost Island!,Filler,2001-02-07
58,Showdown in the Ruins! Tense Zoro vs. Eric!,Filler,2001-02-21
59,"Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!",Filler,2001-02-21
60,Through the Sky They Soar! The 1000 Year Legend Lives Again!,Filler,2001-02-28
61,An Angry Showdown! Cross the Red Line!,Mixed Canon/Filler,2001-03-07
62,The First Line of Defense? The Giant Whale Laboon Appears!,Manga Canon,2001-03-21
63,A Promise Between Men! Luffy and the Whale Vow to Meet Again!,Manga Canon,2001-03-21
64,A Town That Welcomes Pirates? Setting Foot on Whisky Peak!,Manga Canon,2001-04-15
65,Explosion! The Three Swords Style! Zoro vs. Baroque Works!,Manga Canon,2001-04-15
66,"All Out Battle! Luffy vs. Zoro, Mysterious Grand Duel!",Manga Canon,2001-04-22
67,Deliver Princess Vivi! The Luffy Pirates Set Sail!,Manga Canon,2001-04-29
68,"Try Hard, Coby! Coby and Helmeppo’s Struggles in the Marines!",Mixed Canon/Filler,2001-05-13
69,Coby and Helmeppo's Resolve! Vice-Admiral Garp’s Parental Affection,Mixed Canon/Filler,2001-05-20
70,An Ancient Island! The Shadow Hiding in Little Garden!,Manga Canon,2001-05-27
71,Huge Duel! The Giants Dorry and Broggy!,Manga Canon,2001-06-03
72,Luffy Gets Angry! A Dirty Trick Violates the Sacred Duel!,Manga Canon,2001-06-17
73,Broggy’s Bitter Tears of Victory! The Conclusion of Elbaf!,Manga Canon,2001-06-24
74,The Devilish Candle! Tears of Regret and Tears of Anger!,Manga Canon,2001-07-15
75,A Hex on Luffy! Colors Trap!,Manga Canon,2001-08-12
76,Time to Fight Back! Usopp's Quick Thinking and Fire Star!,Manga Canon,2001-08-19
77,Farewell Giant Island! Head for Alabasta!,Manga Canon,2001-08-19
78,Nami’s Sick? Beyond the Snow Falling on the Sea!,Manga Canon,2001-08-26
79,A Raid! The Tin Tyrant and Tin Plate Wapol!,Manga Canon,2001-09-02
80,An Island Without Doctors? Adventure in a Nameless Land!,Manga Canon,2001-09-09
81,Are You Happy? The Doctor Called Witch!,Manga Canon,2001-09-16
82,Dalton’s Resolve! Wapol’s Corps Lands on the Island!,Manga Canon,2001-10-07
83,The Island Where Snow Lives! Climb the Drum Rockies!,Manga Canon,2001-10-07
84,Blue-Nosed Reindeer! Chopper’s Secret!,Manga Canon,2001-10-21
85,An Outcast's Dream! Hiriluk the Quack!,Manga Canon,2001-10-28
86,Hiriluk’s Cherry Blossoms and the Will That Gets Carried On!,Manga Canon,2001-11-04
87,Fight Wapol's Crew! The Power of the Munch-Munch Fruit!,Manga Canon,2001-11-11
88,Zoan-Type Devil Fruit! Chopper’s Seven-Form Transformation!,Manga Canon,2001-11-18
89, When the Kingdom’s Rule Ends! The Flag of Faith Flies Forever!,Manga Canon,2001-11-25
90,Hiriluk's Cherry Blossoms! Miracle in the Drum Rockies!,Manga Canon,2001-12-02
91,Goodbye Drum Island! I’m Going Out to Sea!,Manga Canon,2001-12-09
92,Alabasta's Hero and a Ballerina on the Ship!,Manga Canon,2001-12-09
93,Off to the Desert Kingdom! The Rain-Summoning Powder and the Rebel Army!,Anime Canon,2001-12-16
94,The Heroes' Reunion! His Name Is Fire Fist Ace!,Manga Canon,2001-12-23
95,Ace and Luffy! Hot Emotions and Brotherly Bonds!,Manga Canon,2002-01-06
96,"Erumalu, the City of Green and the Kung Fu Dugongs!",Manga Canon,2002-01-13
97,Adventure in the Country of Sand! The Monsters That Live in the Scorching Land!,Manga Canon,2002-01-20
98,Enter the Desert Pirates! The Men Who Live Freely!,Filler,2002-01-27
